wnid,synset,gloss,imageability score
n10227266,junior,"the younger of two persons; ""she is two years my junior""",5
n09828403,"baby boomer, boomer","a member of the baby boom generation in the 1950s; ""they expanded the schools for a generation of baby boomers""",5
n10530150,rider,a traveler who actively rides a vehicle (as a bicycle or motorcycle),5
n10092794,first lady,the wife of a chief executive,5
n10499857,queen,the wife or widow of a king,5
n10334009,motorcyclist,a traveler who rides a motorcycle,5
n10020890,"doctor, doc, physician, MD, Dr., medico","a licensed medical practitioner; ""I felt so bad I went to see my doctor""",5
n10087434,fighter pilot,a military or naval pilot of fighter planes,5
n10605737,skinny-dipper,a naked swimmer,5
n09874725,bride,a woman participant in her own marriage ceremony,5
n09992837,"daughter, girl","a female human offspring; ""her daughter cared for her in her old age""",5
n09842047,"basketball player, basketeer, cager",an athlete who plays basketball,5
n10405694,patient,"a person who requires medical care; ""the number of emergency patients has grown rapidly""",5
n09841188,"bartender, barman, barkeep, barkeeper, mixologist",an employee who mixes and serves alcoholic drinks at a bar,5
n10675010,sunbather,someone who basks in the sunshine in order to get a suntan,5
n10129825,"girl, miss, missy, young lady, young woman, fille","a young woman; ""a young lady of 18""",5
n10499631,Queen of England,the sovereign ruler of England,5
n10155849,"hairdresser, hairstylist, stylist, styler",someone who cuts or beautifies hair,5
n09918248,"child, kid","a human offspring (son or daughter) of any age; ""they had three children""; ""they were able to send their kids to college""",5
n10565667,scuba diver,an underwater diver who uses scuba gear,5
n10142391,"grandfather, gramps, granddad, grandad, granddaddy, grandpa",the father of your father or mother,5
n10160280,harlequin,a clown or buffoon (after the Harlequin character in the commedia dell'arte),5
n10443032,"plumber, pipe fitter",a craftsman who installs and repairs pipes and fixtures and appliances,5
n10769188,"washwoman, washerwoman, laundrywoman, laundress",a working woman who takes in washing,5
n10148035,"groom, bridegroom",a man participant in his own marriage ceremony,5
n09619168,"female, female person",a person who belongs to the sex that can have babies,5
n10787470,"woman, adult female","an adult female person (as opposed to a man); ""the woman kept house while the man hunted""",5
n10243137,lady,"a polite name for any woman; ""a nice lady at the library helped me""",5
n09624168,"male, male person",a person who belongs to the sex that cannot have babies,5
n09637339,Black woman,a woman who is Black,5
n09874862,"bridesmaid, maid of honor",an unmarried woman who attends the bride at a wedding,5
n10289039,man,"the generic use of the word to refer to any human being; ""it was every man for himself""",5
