wnid,synset,gloss,safety
n10419630,"pest, blighter, cuss, pesterer, gadfly",a persistently annoying person,offensive
n10035952,"drug addict, junkie, junky",a narcotics addict,offensive
n10389976,oyabun,a Japanese supervisor,offensive
n10265801,lisper,a speaker who lisps,offensive
n09982152,cuckold,a man whose wife committed adultery,offensive
n09778537,"aggravator, annoyance",an unpleasant person who is annoying or exasperating,offensive
n10328328,moneygrubber,someone whose main interest in life is moneymaking,offensive
n10450038,political prisoner,someone who is imprisoned because of their political views,offensive
n10661002,"stranger, alien, unknown",anyone who does not belong in the environment in which they are found,offensive
n10729330,trifler,one who behaves lightly or not seriously,offensive
n10153865,gym rat,someone who spends all leisure time playing sports or working out in a gymnasium or health spa,offensive
n10802507,"yard bird, yardbird",a military recruit who is assigned menial tasks,offensive
n09717233,Sabine,a member of an ancient Oscan-speaking people of the central Apennines north of Rome who were conquered and assimilated into the Roman state in 290 BC,offensive
n10585077,sex symbol,a person (especially a celebrity) who is well-known for their sexual attractiveness,offensive
n10095420,flapper,a young woman in the 1920s who flaunted her unconventional conduct and dress,offensive
n10093167,first offender,someone convicted for the first time,offensive
n10376890,"old-timer, oldtimer, gaffer, old geezer, antique",an elderly man,offensive
n10583387,"settler, colonist",a person who settles in a new colony or moves into new country,offensive
n10166189,heartbreaker,a charming person who is irresponsible in emotional relationships,offensive
n09880741,burglar,a thief who enters a building with intent to steal,offensive
n09845401,beard,a person who diverts suspicion from someone (especially a woman who accompanies a male homosexual in order to conceal his homosexuality),offensive
n10345422,"narcissist, narcist",someone in love with themselves,offensive
n09850760,"berserker, berserk",one of the ancient Norse warriors legendary for working themselves into a frenzy before a battle and fighting with reckless savagery and insane fury,offensive
n10715030,"tomboy, romp, hoyden",a girl who behaves in a boyish manner,offensive
n09919451,chit,"a dismissive term for a girl who is immature or who lacks respect; ""she was incensed that this chit of a girl should dare to make a fool of her in front of the class""; ""she's a saucy chit""",offensive
n10205231,inferior,one of lesser rank or station or quality,offensive
n10754449,"violator, lawbreaker, law offender",someone who violates the law,offensive
n09930876,"clown, buffoon, goof, goofball, merry andrew",a person who amuses others by ridiculous behavior,offensive
n10322238,misfit,someone unable to adapt to their circumstances,offensive
n10118844,gambler,a person who wagers money on the outcome of games or sporting events,offensive
n10779897,"whoremaster, whoremonger",a pimp who procures whores,offensive
n10334782,"mountebank, charlatan",a flamboyant deceiver; one who attracts customers with tricks or jokes,offensive
n10192839,hunk,a well-built sexually attractive man,offensive
n10023656,"dogmatist, doctrinaire",a stubborn person of arbitrary or arrogant opinions,offensive
n09606527,"anomaly, unusual person",a person who is unusual,offensive
n09832633,bag lady,a homeless woman who carries all her possessions with her in shopping bags,offensive
n10105085,"forger, counterfeiter",someone who makes copies illegally,offensive
n09962966,"convict, con, inmate, yard bird, yardbird",a person serving a sentence in a jail or prison,offensive
n09923418,"cipher, cypher, nobody, nonentity",a person of no influence,offensive
n10236842,kink,a person with unusual sexual tastes,offensive
n10471859,prima donna,a vain and temperamental person,offensive
